"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODA"	"ODA2015E3755"		"Nee"	"Nieuwestraat 3 7031EW Wehl"	"Doetinchem"	"5"	"Nee"	"2.150,74"	"13.261,60"	"117.890,00"	"213242"	"440312"	"0"	"0"	"2020-01-21"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3756"		"Nee"	"Hobelmansdijk 15 7025CP Halle"		"11"	"Nee"	"192,20"	"579,80"	"5.723,00"	"226615"	"448582"	"0"	"0"	"2014-03-17"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3759"		"Nee"	"Nijmansedijk 20 a 7025EJ Halle"	"Bronckhorst"	"1"	"Nee"	"14,00"	"156,00"	"0,00"	"224542"	"444366"	"0"	"0"	"2020-10-08"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3763"		"Nee"	"Hoge Veldweg 4 7046AC Vethuizen"	"Montferland"	"3"	"Nee"	"1.503,00"	"0,00"	"16.446,00"	"218328"	"436736"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3774"		"Nee"	"Holterweg 90 7245SK Laren"	"Lochem"	"5"	"Nee"	"4.023,17"	"38.375,40"	"109.932,00"	"222577"	"470358"	"0"	"0"	"2026-02-25"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3775"		"Nee"	"Holterweg 96 7245SK Laren"		"3"	"Nee"	"1.501,10"	"5.090,80"	"13.709,80"	"222834"	"471028"	"0"	"0"	"2021-09-03"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E3778"		"Nee"	"Holtkampsweg 2 7141JD Groenlo"		"2"	"Nee"	"3.031,20"	"0,00"	"27.404,00"	"238818"	"453016"	"0"	"0"	"2025-01-07"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3784"		"Nee"	"Tolweg 1 A 7255LG Hengelo (Gld)"		"6"	"Nee"	"3.079,55"	"20.027,80"	"172.451,00"	"218285"	"454444"	"0"	"0"	"2018-12-17"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3785"		"Nee"	"Hoonhorstweg 3 7084BP Breedenbroek"		"5"	"Nee"	"2.451,40"	"0,00"	"22.304,80"	"229098"	"431069"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3787"		"Nee"	"Horsterweg 4 7156NT Beltrum"		"6"	"Nee"	"3.578,00"	"9.200,00"	"88.490,00"	"236883"	"454440"	"0"	"0"	"2024-03-15"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3794"		"Nee"	"Terborgseweg 5 7084AM Breedenbroek"		"5"	"Nee"	"230,40"	"75,20"	"4.556,00"	"227059"	"433796"	"0"	"0"	"2013-09-04"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3797"		"Nee"	"Huisstededijk 4 7122KC Aalten"	"Aalten"	"9"	"Nee"	"13.340,50"	"43.719,62"	"4.751.262,00"	"234900"	"435829"	"0"	"0"	"2026-04-09"	"NL22 Informatieplicht Verwerken"
"ODA"	"ODA2015E3798"		"Nee"	"Terborgseweg 1 7084AM Breedenbroek"		"4"	"Nee"	"1.030,00"	"0,00"	"22.470,00"	"226530"	"433856"	"0"	"0"	"2026-03-17"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3801"		"Nee"		"Winterswijk"	"2"	"Nee"	"1.138,60"	"0,00"	"10.268,40"	"null"	"null"	"0"	"0"	"2019-10-30"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3804"		"Nee"	"Idinkweg 4 7065AH Sinderen"	"Oude IJsselstreek"	"1"	"Nee"	"110,00"	"0,00"	"950,00"	"227597"	"438552"	"0"	"0"	"2023-06-16"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3805"		"Nee"	"Oostermeenweg 15 7142JJ Groenlo"		"3"	"Nee"	"1.439,80"	"0,00"	"12.918,40"	"240841"	"447577"	"0"	"0"	"2019-10-08"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3811"		"Nee"	"Oude Ruurloseweg 26 7136KG Zieuwent"		"2"	"Nee"	"598,60"	"71,20"	"5.560,20"	"232062"	"446157"	"0"	"0"	"2022-11-02"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3816"		"Nee"	"Oude Winterswijkseweg 20 7134PG Vragender"		"4"	"Nee"	"1.096,20"	"12.678,60"	"102.021,00"	"239578"	"443792"	"0"	"0"	"2021-12-27"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3833"		"Nee"	"Jonkerstraat 14 7077AR Netterden"		"1"	"Nee"	"2.666,40"	"0,00"	"32.358,00"	"221286"	"429704"	"0"	"0"	"2015-04-02"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3848"		"Nee"	"Pellendijk 11 7054AP Westendorp"	"Oude IJsselstreek"	"1"	"Nee"	"839,00"	"0,00"	"9.068,00"	"224713"	"439648"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3849"		"Nee"	"Perebolterweg 16 7054CM Westendorp"		"1"	"Nee"	"2.040,00"	"15.640,00"	"104.040,00"	"225275"	"441045"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3863"		"Nee"	"Rabelingstraat 10 7064KG Silvolde"		"10"	"Ja"	"4.124,68"	"42.127,40"	"317.292,75"	"224899"	"437026"	"0"	"0"	"2025-06-02"	"NL11 Aanvraag Beschikking Uitgebreid Behandelen"
"ODA"	"ODA2015E3864"		"Nee"	"Rabelingstraat 2 7064KG Silvolde"		"2"	"Nee"	"3.084,00"	"0,00"	"33.780,00"	"224444"	"436353"	"0"	"0"	"2014-11-24"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3870"		"Nee"	"Rauwershofweg 16 7108BH Winterswijk Woold"		"4"	"Nee"	"784,40"	"0,00"	"8.124,00"	"246644"	"437493"	"0"	"0"	"2014-05-08"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3874"		"Nee"	"Reerinkweg 3 7255MT Hengelo (Gld)"		"1"	"Nee"	"114,80"	"690,00"	"5.270,00"	"225049"	"453285"	"0"	"0"	"2015-02-24"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3878"		"Nee"	"Rijksweg 6 7011EA Gaanderen"		"4"	"Nee"	"2.111,40"	"15,60"	"21.560,00"	"219815"	"438627"	"0"	"0"	"2018-07-19"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3882"		"Nee"	"Ringweg 1 7156RN Beltrum"	"Berkelland"	"7"	"Nee"	"1.775,18"	"15.469,00"	"115.915,70"	"235714"	"453245"	"0"	"0"	"2025-06-18"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3885"		"Nee"	"Rondweg 3 7075EM Etten"		"6"	"Nee"	"1.848,00"	"19.550,00"	"128.711,40"	"217548"	"437681"	"0"	"0"	"2019-11-27"	"NL09 Melding Activiteit Behandelen"
