"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODNML"	"6035RT24"	"Vleesvee"	"Nee"	"Kruisvennendijk 24 6035RT Ospel"	"Nederweert"	"5"	"Nee"	"363,30"	"2.064,80"	"5.960,00"	"185299"	"369210"	"185365"	"369169"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RT26A"	"Vleesvarkens"	"Nee"	"Kruisvennendijk 26A 6035RT Ospel"	"Nederweert"	"3"	"Ja"	"11.804,00"	"84.640,00"	"583.460,00"	"185508"	"369463"	"185613"	"369431"	"2024-06-11"	"Ambtshalve wijziging"
"ODNML"	"6035RW1"	"Melkrundvee"	"Nee"	"Bientjesweg 1 6035RW Ospel"	"Nederweert"	"1"	"Nee"	"35,20"	"0,00"	"304,00"	"185015"	"368516"	"185060"	"368539"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RW2"	"Melkrundvee"	"Nee"	"Bientjesweg 2 6035RW Ospel"	"Nederweert"	"1"	"Nee"	"2.854,40"	"0,00"	"25.568,00"	"185134"	"368237"	"185100"	"368229"	"2014-06-23"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RW4"	"Zeugen"	"Nee"	"Bientjesweg 4 6035RW Ospel"	"Nederweert"	"4"	"Ja"	"969,70"	"16.628,40"	"125.168,00"	"185356"	"367902"	"185297"	"367899"	"2024-01-17"	"Ambtshalve wijziging"
"ODNML"	"6035RX18"	"Melkrundvee"	"Nee"	"Venloseweg 18 6035RX Ospel"	"Nederweert"	"3"	"Nee"	"2.648,60"	"0,00"	"29.198,00"	"187829"	"369195"	"187820"	"369222"	"2014-10-27"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RX5"	"Leghennen"	"Nee"	"Venloseweg 5 6035RX Ospel"	"Nederweert"	"2"	"Nee"	"3.549,93"	"4.667,86"	"1.153.236,00"	"183069"	"366528"	"183062"	"366606"	"2016-07-14"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RX6"	"Paarden"	"Nee"	"Venloseweg 6 6035RX Ospel"	"Nederweert"	"1"	"Nee"	"17,00"	"78,00"	"0,00"	"183219"	"366614"	"183218"	"366615"	"2017-02-02"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RZ3"	"Paarden"	"Nee"	"Waatskamperheide 3 6035RZ Ospel"	"Nederweert"	"1"	"Nee"	"40,00"	"0,00"	"0,00"	"183989"	"367447"	"183913"	"367462"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RZ9"	"Leghennen"	"Nee"	"Waatskamperheide 9 6035RZ Ospel"	"Nederweert"	"4"	"Ja"	"2.027,64"	"20.366,00"	"3.114.800,00"	"184379"	"367636"	"184304"	"367727"	"2021-12-23"	"Omgevingsvergunning-verandering"
