provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,onderwijstype,latitude,longitude
Drenthe,Basisschool De Stroeten,Stroetweg,10,7812 Ba,Emmen,0114,Emmen,0591610531,Basisonderwijs,52.77110152,6.88058754
Flevoland,Islamitische Basisschool Al Iman,Harderwijkoever,3,1324 Ha,Almere,0034,Almere,0365304737,Basisonderwijs,52.3612166,5.20968181
Flevoland,Al-Ihsaan,Schor,7,8224 Cm,Lelystad,0995,Lelystad,0320213849,Basisonderwijs,52.51325418,5.49184403
Flevoland,Basisschool De Ark,Middenhof,210,1354 Ev,Almere,0034,Almere,0365310289,Basisonderwijs,52.34046444,5.21499727
Flevoland,Basisschool De Driemaster,Tegelenpad,2,1324 Ds,Almere,0034,Almere,0365331399,Basisonderwijs,52.36071002,5.2080422
Flevoland,Basisschool De Ichthus,Rijnweg,10,1316 Ep,Almere,0034,Almere,0365332746,Basisonderwijs,52.38355209,5.22494491
Flevoland,Basisschool Het Kompas,Binnenkruierstraat,5,1333 Ec,Almere,0034,Almere,0365321065,Basisonderwijs,52.39798932,5.27317574
Flevoland,Rk Jenaplanschool De Sterrenzee,Vrijmark,114,1355 Gk,Almere,0034,Almere,0365310112,Basisonderwijs,52.34378371,5.22514065
Flevoland,Basisschool De Regenboog,Klipgriend,1,1356 Ga,Almere,0034,Almere,0365314937,Basisonderwijs,52.33958914,5.23680352
Flevoland,Protestants Christelijke Basisschool De Lichtboei,Luitstraat,7,1312 Lh,Almere,0034,Almere,0365361595,Basisonderwijs,52.37131927,5.18709329
Flevoland,Basisschool De Olijfboom,Bongerdstraat,2,1326 Ab,Almere,0034,Almere,0365376557,Basisonderwijs,52.37508283,5.23792225
Flevoland,Protestants Christelijke Basisschool De Buitenburcht,Zonnebloemweg,66,1338 Tv,Almere,0034,Almere,0365329271,Basisonderwijs,52.38668937,5.27989254
Flevoland,Basisschool De Kraanvogel,Perzikstraat,24,1326 Hn,Almere,0034,Almere,0365354527,Basisonderwijs,52.36982643,5.25117377
Flevoland,De Omnibus,J.J. Slauerhoffstraat,53,1321 He,Almere,0034,Almere,0365363125,Basisonderwijs,52.35650344,5.18197487
Flevoland,Protestants Christelijke Basisschool De Dukdalf,Makassarweg,68,1335 Hz,Almere,0034,Almere,0365325089,Basisonderwijs,52.39938085,5.29289289
Flevoland,De Optimist,Hildo Kropstraat,20,1328 Bc,Almere,0034,Almere,0365369060,Basisonderwijs,52.37565572,5.26018647
Flevoland,Oecumenische Daltonschool De Windwijzer,Kraaiennest,4,1319 Da,Almere,0034,Almere,0365240540,Basisonderwijs,52.38971394,5.17748398
Flevoland,Het Drieluik,Ten Harmsen V.D. Beekpad,4,1336 Bk,Almere,0034,Almere,0365295623,Basisonderwijs,52.40442845,5.3151874
Flevoland,De Kleine Wereld,Heliumweg,61,1362 Ja,Almere,0034,Almere,0367670240,Basisonderwijs,52.34977285,5.15839053
Flevoland,De Ruimte,Nimfenplein,1,1363 Sv,Almere,0034,Almere,0367671688,Basisonderwijs,52.35760917,5.15319783
Flevoland,De Verwondering,Richard Feynmanstraat,7,1341 Dl,Almere,0034,Almere,0367671730,Basisonderwijs,52.35935208,5.28629032
Flevoland,De Verbeelding,Burchard De Volderstraat,19,1349 Hj,Almere,0034,Almere,0362005546,Basisonderwijs,52.34459667,5.31353256
Flevoland,Sws De Fladderiep,Voorstraat,5,8317 Ag,Kraggenburg,0171,Noordoostpolder,0527252884,Basisonderwijs,52.66261033,5.89898841
Flevoland,Rooms Katholieke Basisschool De Horizon,Arnoldus Van Bockholtstr,3,8307 Ax,Ens,0171,Noordoostpolder,0527251537,Basisonderwijs,52.63523522,5.82685874
Flevoland,De Trimaran,Oosteinde,2-A,8316 Bl,Marknesse,0171,Noordoostpolder,0527203177,Basisonderwijs,52.71025898,5.86649721
Flevoland,Sws De Kring,Ring,17,8308 Al,Nagele,0171,Noordoostpolder,0527652940,Basisonderwijs,52.64601394,5.72412891
Flevoland,De Akkerbloem,Graaf Florislaan,18,8312 Ax,Creil,0171,Noordoostpolder,0527274242,Basisonderwijs,52.76407582,5.65699012
Flevoland,Oecumenische Basisschool De Ark,Het Laantje,6,8311 Az,Espel,0171,Noordoostpolder,0527271638,Basisonderwijs,52.72608905,5.64455922
Flevoland,Albert Schweitzer-School,Skagerrak,11,8303 Va,Emmeloord,0171,Noordoostpolder,0527613159,Basisonderwijs,52.71144085,5.73608446
Flevoland,St Joseph School,Prof. Lorentzstraat,4,8302 As,Emmeloord,0171,Noordoostpolder,0527613373,Basisonderwijs,52.71224409,5.75581629
Flevoland,Cbs De Koperwiek,Lijsterbesstraat,32,8302 Cn,Emmeloord,0171,Noordoostpolder,0527697988,Basisonderwijs,52.71393571,5.7510576
Flevoland,Cbs De Triangel,Reijdersant,17,8303 Xl,Emmeloord,0171,Noordoostpolder,0527612625,Basisonderwijs,52.706839,5.73319225
Flevoland,De Leeuwerik,Sportweg,52-A,8313 Ar,Rutten,0171,Noordoostpolder,0527262847,Basisonderwijs,52.80285709,5.6943614
Flevoland,Cbs De Lichtboei,Scheer,1,8303 Kn,Emmeloord,0171,Noordoostpolder,0527698644,Basisonderwijs,52.71296565,5.72780969
Flevoland,Cbs 'T Kompas,Sondelstraat,4,8304 Ga,Emmeloord,0171,Noordoostpolder,0527613253,Basisonderwijs,52.7031415,5.76403968
Flevoland,Cbs Op De Wieken,Fazantendrift,2,8309 Am,Tollebeek,0171,Noordoostpolder,0527651489,Basisonderwijs,52.67798669,5.67393837
Flevoland,De Bunder,Zuidwend,4,8314 Aa,Bant,0171,Noordoostpolder,0527261447,Basisonderwijs,52.76653057,5.7510429
Flevoland,Cbs Het Lichtschip,Sportweg,24,8307 An,Ens,0171,Noordoostpolder,0527251712,Basisonderwijs,52.63823332,5.82783418
Flevoland,O.B.S. De Carrousel,Lijsterbesstraat,34,8302 Cn,Emmeloord,0171,Noordoostpolder,0527612261,Basisonderwijs,52.71379317,5.75110909
Flevoland,Roderik Van Voorstschool,Skagerrak,1,8303 Va,Emmeloord,0171,Noordoostpolder,0527612321,Basisonderwijs,52.71320199,5.73618725
