"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODZOB"	"5761PZ7"	"voormalig bedrijf"	"Ja"	"Speurgt 7 5761PZ BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"176077"	"392192"	"176077"	"392192"	"2004-11-30"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RA9"	"Melkrundvee"	"Nee"	"Grotel 9 5761RA Bakel"	"Gemert-Bakel"	"2"	""	"1.678,00"	"8.116,80"	"15.324,00"	"175613"	"392918"	"175585"	"392885"	"2013-07-03"	"Melding:Besluit Landbouw milieubeheer"
"ODZOB"	"5761RB1"	"Melkrundvee"	"Nee"	"Kivitsbraak 1 5761RB Bakel"	"Gemert-Bakel"	"3"	""	"2.612,08"	"12.646,50"	"128.019,00"	"177589"	"392938"	"177572"	"392923"	"2013-07-09"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761RB2"	"voormalig bedrijf"	"Ja"	"Kivitsbraak 2 5761RB Bakel"	"Gemert-Bakel"	"1"	""	"nu"	"nu"	"nu"	"177835"	"392855"	"177881"	"392854"	"2022-12-22"	"Intrekking gehele veebestand"
"ODZOB"	"5761RC2"	"Paarden"	"Nee"	"Vogelenzang 2 5761RC Bakel"	"Gemert-Bakel"	"1"	""	"171,00"	"0,00"	"0,00"	"178596"	"392767"	"178586"	"392800"	"2020-08-18"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761RD2"	"Vleesvee"	"Nee"	"Esp 2 5761RD Bakel"	"Gemert-Bakel"	"2"	""	"5.985,10"	"68.774,80"	"63.129,00"	"178719"	"392388"	"178763"	"392473"	"2019-10-30"	"Vergunning:Omgevingsvergunning-verandering"
"ODZOB"	"5761RD3"	"voormalig bedrijf"	"Ja"	"Esp 3 5761RD BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178568"	"392293"	"178568"	"392293"	"2006-01-31"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RD5"	"Melkrundvee"	"Nee"	"Esp 5 5761RD Bakel"	"Gemert-Bakel"	"4"	""	"1.243,30"	"6.158,80"	"11.349,00"	"178648"	"392021"	"178668"	"392033"	"2012-02-07"	"Vergunning:Revisievergunning"
"ODZOB"	"5761RD7"	"voormalig bedrijf"	"Ja"	"Esp 7 5761RD BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178422"	"392353"	"178422"	"392353"	"2011-01-04"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RD9"	"voormalig bedrijf"	"Ja"	"Esp 9 5761RD BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178375"	"392367"	"178375"	"392367"	"2001-12-17"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RE1"	"voormalig bedrijf"	"Ja"	"Neerstraat 1 5761RE BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178413"	"391092"	"178413"	"391092"	"2012-10-02"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RE10"	"Melkrundvee"	"Nee"	"Neerstraat 10 5761RE Bakel"	"Gemert-Bakel"	"1"	""	"1.590,00"	"0,00"	"24.666,00"	"178458"	"391814"	"178477"	"391835"	"2024-06-25"	"Melding Besluit Activiteit Leefomgeving"
"ODZOB"	"5761RE11A"	"Melkrundvee"	"Nee"	"Neerstraat 11A 5761RE Bakel"	"Gemert-Bakel"	"2"	""	"4.803,00"	"0,00"	"43.422,00"	"178350"	"391798"	"178394"	"391843"	"2021-10-26"	"Intrekking:Intrekking gedeeltelijke veestand"
"ODZOB"	"5761RE12"	"voormalig bedrijf"	"Ja"	"Neerstraat 12 5761RE BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178429"	"391899"	"178429"	"391899"	"2000-09-25"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RE13"	"Vleesvarkens"	"Nee"	"Neerstraat 13 5761RE Bakel"	"Gemert-Bakel"	"1"	"Ja"	"3.429,90"	"96.799,40"	"236.282,00"	"178186"	"392236"	"178158"	"392120"	"2019-02-14"	"Vergunning:Omgevingsvergunning-verandering"
"ODZOB"	"5761RE14"	"voormalig bedrijf"	"Ja"	"Neerstraat 14 5761RE Bakel"	"Gemert-Bakel"	"2"	""	"0,00"	"0,00"	"0,00"	"178331"	"392089"	"178348"	"392139"	"2021-05-03"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RG1"	"Vleesvarkens"	"Nee"	"Nuijeneind 1 5761RG Bakel"	"Gemert-Bakel"	"9"	"Ja"	"1.700,64"	"47.050,41"	"125.401,60"	"178349"	"390882"	"178414"	"390846"	"2025-02-20"	"Omgevingsvergunning-revisie"
"ODZOB"	"5761RG16"	"Paarden"	"Nee"	"Nuijeneind 16 5761RG Bakel"	"Gemert-Bakel"	"1"	""	"50,00"	"0,00"	"0,00"	"177797"	"390919"	"177802"	"390930"	"2021-11-05"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761RG7"	"voormalig bedrijf"	"Ja"	"Nuijeneind 7 5761RG BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"177608"	"390793"	"177608"	"390793"	"2012-10-31"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RH16"	"Zeugen"	"Nee"	"Geneneind 16 5761RH Bakel"	"Gemert-Bakel"	"1"	""	"676,02"	"3.945,20"	"32.592,00"	"179013"	"391333"	"178991"	"391366"	"2016-01-26"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761RH20"	"voormalig bedrijf"	"Ja"	"Geneneind 20 5761RH BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178809"	"391360"	"178809"	"391360"	"2009-10-27"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RH28"	"voormalig bedrijf"	"Ja"	"Geneneind 28 5761RH BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"178597"	"391244"	"178597"	"391244"	"2020-03-26"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761RH6"	"Paarden"	"Nee"	"Geneneind 6 5761RH Bakel"	"Gemert-Bakel"	"1"	""	"149,00"	"156,00"	"0,00"	"179446"	"391587"	"179473"	"391604"	"2020-03-03"	"Melding:Melding activiteitenbesluit"
"ODZOB"	"5761RH8"	"voormalig bedrijf"	"Ja"	"Geneneind 8 5761RH BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"179280"	"391384"	"179280"	"391384"	"2004-11-30"	"Intrekking:Intrekkingsvergunning"
"ODZOB"	"5761RJ2"	"Melkrundvee"	"Nee"	"Zaarvlaas 2 5761RJ Bakel"	"Gemert-Bakel"	"2"	""	"3.220,00"	"8.858,40"	"102.558,00"	"179234"	"392085"	"179290"	"392131"	"2014-10-21"	"Vergunning:Omgevingsvergunning milieu"
