"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"Horst aan de Maas"	"5866CG5"	"5866CG5_10963"	"7"	"Nee"	"Legert 5 5866CG Swolgen"	"Horst aan de Maas"	"206213"	"390069"	"505,71"	"5.727,61"	"46.868,90"	"5866CG5_2024"	"2024-10-03"	"Omgevingsvergunning-verandering OW"
"Horst aan de Maas"	"5866CG5"	"5866CG5_10964"	"8"	"Nee"	"Legert 5 5866CG Swolgen"	"Horst aan de Maas"	"206213"	"390069"	"1.935,00"	"34.615,00"	"213.817,50"	"5866CG5_2024"	"2024-10-03"	"Omgevingsvergunning-verandering OW"
"Horst aan de Maas"	"5866CG6"	"5866CG6_10809"	"2"	"Nee"	"Legert 6 5866CG Swolgen"	"Horst aan de Maas"	"206463"	"390059"	"35,00"	"390,00"	"0,00"	"5866CG6_10809"	"2021-04-29"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866CH9"	"5866CH9_9983"	"1"	"Nee"	"Osterbos 9 5866CH Swolgen"	"Horst aan de Maas"	"207176"	"390193"	"447,60"	"0,00"	"4.026,00"	"5866CH9_9983"	"1994-01-10"	"Vergunning:"
"Horst aan de Maas"	"5866CJ8"	"5866CJ8_9990"	"A"	"Nee"	"Hogeweg 8 5866CJ Swolgen"	"Horst aan de Maas"	"207119"	"389925"	"35,00"	"390,00"	"0,00"	"5866CJ8_9990"	"2021-08-03"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866CL3"	"5866CL3_3939"	"bedrijf"	"Nee"	"Hulsweg 3 5866CL Swolgen"	"Horst aan de Maas"	"206413"	"389639"	"1.181,34"	"18.328,20"	"1.221.880,00"	"5866CL3_3939"	"2014-08-29"	"Vergunning:Omgevingsvergunning beperkte milieutoets"
"Horst aan de Maas"	"5866CP3"	"5866CP3_10478"	"K2"	"Nee"	"Krienestraat 3 5866CP SWOLGEN"	"Horst aan de Maas"	"207294"	"390466"	"1.310,40"	"46.883,20"	"90.272,00"	"5866CP3_10478"	"2023-06-28"	"Intrekking:Omgevingsvergunning intrekking"
"Horst aan de Maas"	"5866CP3"	"5866CP3_10478_1"	"K5"	"Nee"	"Krienestraat 3 5866CP SWOLGEN"	"Horst aan de Maas"	"207322"	"390398"	"336,00"	"36.064,00"	"222.768,00"	"5866CP3_10478"	"2023-06-28"	"Intrekking:Omgevingsvergunning intrekking"
"Horst aan de Maas"	"5866CP3"	"5866CP3_10478_2"	"K6"	"Nee"	"Krienestraat 3 5866CP SWOLGEN"	"Horst aan de Maas"	"207357"	"390368"	"1.458,00"	"52.164,00"	"99.144,00"	"5866CP3_10478"	"2023-06-28"	"Intrekking:Omgevingsvergunning intrekking"
"Horst aan de Maas"	"5871AK23"	"5871AK23_9589"	"1"	"Nee"	"Swolgenseweg 23 5871AK Broekhuizenvorst"	"Horst aan de Maas"	"208164"	"389521"	"170,20"	"0,00"	"3.610,00"	"5871AK23_9589"	"2008-07-16"	"Melding:"
