provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,school_type,latitude,longitude
Gelderland,PCBO Het Kompas,1e Wormenseweg,460,7333 GZ,APELDOORN,0200,APELDOORN,0555334405,primary,52.19208346,5.97354128
Gelderland,PC Montessorischool Passe-Partout Kerschoten,Boerhaavestraat,111,7316 LE,APELDOORN,0200,APELDOORN,0555218071,primary,52.23252306,5.96719422
Gelderland,Montessorischool PP Centrum,Lange Grafte,37,7321 ZC,APELDOORN,0200,APELDOORN,0553555352,primary,52.2151442,5.9715921
Gelderland,PCBO Prinses Margriet,Sluisoordlaan,198,7322 EL,APELDOORN,0200,APELDOORN,0553665294,primary,52.22508095,5.98337809
Gelderland,PCBO De Ichthus,Kalmoesstraat,261,7322 NS,APELDOORN,0200,APELDOORN,0553666057,primary,52.22194907,5.99487163
Gelderland,PCBO De Sjofar Prinses Beatrix,Papegaaiweg,95,7345 DL,WENUM WIESEL,0200,APELDOORN,0553121977,primary,52.25480172,5.96287712
Gelderland,PCBO De Diamant Beemte,Beemterweg,31,7341 PC,BEEMTE BROEKLAND,0200,APELDOORN,0553121377,primary,52.25673258,5.99028033
Gelderland,PCBO De Wegwijzer,Eburonenstraat,48,7312 JR,APELDOORN,0200,APELDOORN,0553554624,primary,52.20550623,5.93675156
Gelderland,PCBO Koningin Wilhelmina,Prof. Rontgenstraat,10,7311 AM,APELDOORN,0200,APELDOORN,0555212389,primary,52.21816186,5.95781358
Gelderland,PCBO De Korenaar,Staringlaan,53,7314 LN,APELDOORN,0200,APELDOORN,0553554162,primary,52.21298074,5.94196873
Gelderland,PCBO De Sjofar,Glazeniershorst,404,7328 TK,APELDOORN,0200,APELDOORN,0555337856,primary,52.20367076,5.99306266
Gelderland,PCBO Regenboog-Woudhuis,Lage Landenlaan,1,7325 NR,APELDOORN,0200,APELDOORN,0553667288,primary,52.21486752,6.00844045
Gelderland,PCBO Regenboog-Osseveld,De Keerkring,70,7325 EA,APELDOORN,0200,APELDOORN,0555060541,primary,52.21649895,6.00671535
Gelderland,PCBO De Diamant het Rooster,Laan van de Leeuw,299,7324 BD,APELDOORN,0200,APELDOORN,0553665671,primary,52.24255706,5.99818713
Gelderland,Protestants Christelijke Basisschool De Klokkenberg,Kopseweg,7,6522 KB,NIJMEGEN,0268,NIJMEGEN,0243229220,primary,51.83774494,5.88998977
Gelderland,Basisschool 't Kempken,Beuksveld,6,7104 BD,WINTERSWIJK MEDDO,0294,WINTERSWIJK,0543569406,primary,52.01261306,6.70660471
Gelderland,Christelijk Kindcentrum De Koepel,Nieuwe Maanderbuurtweg,2,6717 AS,EDE,0228,EDE,0318630564,primary,52.03087512,5.6521372
