PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Gelderland,Sterrenschool Zevenaar,Guido Gezellestraat,42,6901 KZ,ZEVENAAR,0299,ZEVENAAR,0316848913,primary
Gelderland,Vrije School De Kleine Prins,Torontostraat,1,7007 BK,DOETINCHEM,0222,DOETINCHEM,0314364032,primary
Gelderland,Vrije Basisschool De Esch,Rusthuisstraat,28,7101 JH,WINTERSWIJK,0294,WINTERSWIJK,0543514595,primary
Gelderland,Vrije School Valentijn,Vliepad,1,3844 EL,HARDERWIJK,0243,HARDERWIJK,0341419364,primary
Gelderland,Parcivalschool,Zwanebloemlaan,4,6832 HG,ARNHEM,0202,ARNHEM,0263213174,primary
Gelderland,Vrije School De Vijfster,Texandrilaan,30,7312 HR,APELDOORN,0200,APELDOORN,0553559010,primary
Gelderland,Blink,Jan van Riebeeckstraat,9,4105 BA,CULEMBORG,0216,CULEMBORG,0345523698,primary
Gelderland,PCBO Prinses Juliana,Tullekensmolenweg,77,7364 BA,LIEREN,0200,APELDOORN,0555061460,primary
Gelderland,PCBO Spreng Ugchelen,Bogaardslaan,75,7339 AN,UGCHELEN,0200,APELDOORN,0555332585,primary
Gelderland,De Ontdekking PC Jenaplanschool,Schopenhauerstraat,277,7323 MB,APELDOORN,0200,APELDOORN,0553663540,primary
Gelderland,PCBO De Ploeg,Holtrichtersveld,3,7327 DJ,APELDOORN,0200,APELDOORN,0555411335,primary
Gelderland,PCBO De Terebint,Rederijkershoeve,19,7326 TH,APELDOORN,0200,APELDOORN,0555414188,primary
Gelderland,PCBO De Kring,Voldersdreef,303,7328 CA,APELDOORN,0200,APELDOORN,0555334146,primary
Gelderland,PCBO De Fakkel,Roerdompweg,3,7331 CL,APELDOORN,0200,APELDOORN,0555334248,primary
Gelderland,PCBO Willem Van Oranje,Kobaltstraat,15,7334 AL,APELDOORN,0200,APELDOORN,0555331221,primary
Gelderland,PCBO De Diamant het Kristal,Laan van de Charleston,71,7323 RV,APELDOORN,0200,APELDOORN,0557630402,primary
